Slack_Alpha,CDF
0.0,0.0
0.0,5.8664789393406076e-05
0.0,0.00011732957878681215
0.0,0.00017599436818021823
0.0,0.0002346591575736243
0.0,0.0002933239469670304
0.0,0.00035198873636043646
0.0,0.00041065352575384256
0.0,0.0004693183151472486
0.0,0.0005279831045406547
0.0,0.0005866478939340608
0.0,0.0006453126833274669
0.0,0.0007039774727208729
0.0,0.000762642262114279
0.0,0.0008213070515076851
0.0,0.0008799718409010912
0.0,0.0009386366302944972
0.0,0.0009973014196879033
0.0,0.0010559662090813093
0.0,0.0011146309984747154
0.0,0.0011732957878681216
0.0,0.0012319605772615277
0.0,0.0012906253666549337
0.0,0.0013492901560483398
0.0,0.0014079549454417458
0.0,0.0014666197348351519
0.0,0.001525284524228558
0.0,0.0015839493136219642
0.0,0.0016426141030153702
0.0,0.0017012788924087763
0.0,0.0017599436818021823
0.0,0.0018186084711955884
0.0,0.0018772732605889944
0.0,0.0019359380499824005
0.0,0.0019946028393758065
0.0,0.0020532676287692126
0.0,0.0021119324181626186
0.0,0.0021705972075560247
0.0,0.0022292619969494307
0.0,0.0022879267863428372
0.0,0.0023465915757362433
0.0,0.0024052563651296493
0.0,0.0024639211545230554
0.0,0.0025225859439164614
0.0,0.0025812507333098675
0.0,0.0026399155227032735
0.0,0.0026985803120966796
0.0,0.0027572451014900856
0.0,0.0028159098908834917
0.0,0.0028745746802768977
0.0,0.0029332394696703038
0.0,0.00299190425906371
0.0,0.003050569048457116
0.0,0.003109233837850522
0.0,0.0031678986272439284
0.0,0.0032265634166373344
0.0,0.0032852282060307405
0.0,0.0033438929954241465
0.0,0.0034025577848175526
0.0,0.0034612225742109586
0.0,0.0035198873636043647
0.0,0.0035785521529977707
0.0,0.003637216942391177
0.0,0.003695881731784583
0.0,0.003754546521177989
0.0,0.003813211310571395
0.0,0.003871876099964801
0.0,0.0039305408893582075
0.0,0.003989205678751613
0.0,0.0040478704681450196
0.0,0.004106535257538425
0.0,0.004165200046931832
0.0,0.004223864836325237
0.0,0.004282529625718644
0.0,0.004341194415112049
0.0,0.004399859204505456
0.0,0.0044585239938988615
0.0,0.004517188783292268
0.0,0.0045758535726856744
0.0,0.00463451836207908
0.0,0.0046931831514724865
0.0,0.004751847940865892
0.0,0.004810512730259299
0.0,0.004869177519652704
0.0,0.004927842309046111
0.0,0.004986507098439516
0.0,0.005045171887832923
0.0,0.0051038366772263285
0.0,0.005162501466619735
0.0,0.0052211662560131405
0.0,0.005279831045406547
0.0,0.005338495834799953
0.0,0.005397160624193359
0.0,0.005455825413586766
0.0,0.005514490202980171
0.0,0.005573154992373578
0.0,0.005631819781766983
0.0,0.00569048457116039
0.0,0.005749149360553795
0.0,0.005807814149947202
0.0,0.0058664789393406075
0.0,0.005925143728734014
0.0,0.00598380851812742
0.0,0.006042473307520826
0.0,0.006101138096914232
0.0,0.006159802886307638
0.0,0.006218467675701044
0.0,0.00627713246509445
0.0,0.006335797254487857
0.0,0.006394462043881262
0.0,0.006453126833274669
0.0,0.0065117916226680745
0.0,0.006570456412061481
0.0,0.006629121201454887
0.0,0.006687785990848293
0.0,0.006746450780241699
0.0,0.006805115569635105
0.0,0.006863780359028511
0.0,0.006922445148421917
0.0,0.006981109937815323
0.0,0.007039774727208729
0.0,0.007098439516602135
0.0,0.0071571043059955415
0.0,0.007215769095388948
0.0,0.007274433884782354
0.0,0.00733309867417576
0.0,0.007391763463569166
0.0,0.007450428252962572
0.0,0.007509093042355978
0.0,0.007567757831749384
0.0,0.00762642262114279
0.0,0.007685087410536196
0.0,0.007743752199929602
0.0,0.0078024169893230085
0.0,0.007861081778716415
0.0,0.00791974656810982
0.0,0.007978411357503226
0.0,0.008037076146896633
