Stash_Peak_During_Access,Queue_Length,CDF
0,0,0.0
0,0,9.139848826900404e-06
0,0,1.8279697653800807e-05
0,0,2.741954648070121e-05
0,0,3.6559395307601615e-05
0,0,4.569924413450201e-05
0,0,5.483909296140242e-05
0,0,6.397894178830282e-05
0,0,7.311879061520323e-05
0,0,8.225863944210362e-05
0,0,9.139848826900403e-05
0,0,0.00010053833709590443
0,0,0.00010967818592280484
0,0,0.00011881803474970524
0,0,0.00012795788357660565
0,0,0.00013709773240350604
0,0,0.00014623758123040646
0,0,0.00015537743005730685
0,0,0.00016451727888420724
0,0,0.00017365712771110766
0,0,0.00018279697653800805
0,0,0.00019193682536490847
0,0,0.00020107667419180886
0,0,0.00021021652301870928
0,0,0.00021935637184560967
0,0,0.00022849622067251007
0,0,0.00023763606949941049
0,0,0.0002467759183263109
0,0,0.0002559157671532113
0,0,0.0002650556159801117
0,0,0.0002741954648070121
0,0,0.00028333531363391247
0,0,0.0002924751624608129
0,0,0.0003016150112877133
0,0,0.0003107548601146137
0,0,0.0003198947089415141
0,0,0.0003290345577684145
0,0,0.00033817440659531493
0,0,0.0003473142554222153
0,0,0.0003564541042491157
0,0,0.0003655939530760161
0,0,0.00037473380190291655
0,0,0.00038387365072981694
0,0,0.00039301349955671734
0,0,0.00040215334838361773
0,0,0.0004112931972105181
0,0,0.00042043304603741857
0,0,0.00042957289486431896
0,0,0.00043871274369121935
0,0,0.00044785259251811974
0,0,0.00045699244134502013
0,0,0.0004661322901719206
0,0,0.00047527213899882097
0,0,0.00048441198782572136
0,0,0.0004935518366526218
0,0,0.0005026916854795222
0,0,0.0005118315343064226
0,0,0.000520971383133323
0,0,0.0005301112319602234
0,0,0.0005392510807871238
0,0,0.0005483909296140242
0,0,0.0005575307784409246
0,0,0.0005666706272678249
0,0,0.0005758104760947254
0,0,0.0005849503249216258
0,0,0.0005940901737485262
0,0,0.0006032300225754266
0,0,0.000612369871402327
0,0,0.0006215097202292274
0,0,0.0006306495690561278
0,0,0.0006397894178830282
0,0,0.0006489292667099286
0,0,0.000658069115536829
0,0,0.0006672089643637295
0,0,0.0006763488131906299
0,0,0.0006854886620175303
0,0,0.0006946285108444306
0,0,0.000703768359671331
0,0,0.0007129082084982314
0,0,0.0007220480573251318
0,0,0.0007311879061520322
0,0,0.0007403277549789326
0,0,0.0007494676038058331
0,0,0.0007586074526327335
0,0,0.0007677473014596339
0,0,0.0007768871502865343
0,0,0.0007860269991134347
0,0,0.0007951668479403351
0,0,0.0008043066967672355
0,0,0.0008134465455941358
0,0,0.0008225863944210362
0,0,0.0008317262432479366
0,0,0.0008408660920748371
0,0,0.0008500059409017375
0,0,0.0008591457897286379
0,0,0.0008682856385555383
0,0,0.0008774254873824387
0,0,0.0008865653362093391
0,0,0.0008957051850362395
0,0,0.0009048450338631399
0,0,0.0009139848826900403
0,0,0.0009231247315169407
0,0,0.0009322645803438412
0,0,0.0009414044291707415
0,0,0.0009505442779976419
0,0,0.0009596841268245423
0,0,0.0009688239756514427
0,0,0.0009779638244783431
0,0,0.0009871036733052436
0,0,0.000996243522132144
0,0,0.0010053833709590444
0,0,0.0010145232197859447
0,0,0.0010236630686128452
0,0,0.0010328029174397455
0,0,0.001041942766266646
0,0,0.0010510826150935463
0,0,0.0010602224639204468
0,0,0.0010693623127473473
0,0,0.0010785021615742475
0,0,0.001087642010401148
0,0,0.0010967818592280483
0,0,0.0011059217080549488
0,0,0.001115061556881849
0,0,0.0011242014057087496
0,0,0.0011333412545356499
0,0,0.0011424811033625504
0,0,0.0011516209521894509
0,0,0.0011607608010163512
0,0,0.0011699006498432517
0,0,0.001179040498670152
0,0,0.0011881803474970525
0,0,0.0011973201963239527
0,0,0.0012064600451508532
0,0,0.0012155998939777535
0,0,0.001224739742804654
0,0,0.0012338795916315545
0,0,0.0012430194404584548
0,0,0.0012521592892853553
0,0,0.0012612991381122556
0,0,0.001270438986939156
0,0,0.0012795788357660564
0,0,0.0012887186845929569
0,0,0.0012978585334198572
0,0,0.0013069983822467577
0,0,0.001316138231073658
0,0,0.0013252780799005584
0,0,0.001334417928727459
0,0,0.0013435577775543592
0,0,0.0013526976263812597
0,0,0.00136183747520816
0,0,0.0013709773240350605
0,0,0.0013801171728619608
0,0,0.0013892570216888613
0,0,0.0013983968705157616
0,0,0.001407536719342662
0,0,0.0014166765681695626
0,0,0.0014258164169964629
0,0,0.0014349562658233634
0,0,0.0014440961146502636
0,0,0.0014532359634771641
0,0,0.0014623758123040644
0,0,0.001471515661130965
0,0,0.0014806555099578652
0,0,0.0014897953587847657
0,0,0.0014989352076116662
0,0,0.0015080750564385665
0,0,0.001517214905265467
0,0,0.0015263547540923673
0,0,0.0015354946029192678
0,0,0.001544634451746168
0,0,0.0015537743005730686
0,0,0.0015629141493999688
0,0,0.0015720539982268693
0,0,0.0015811938470537696
0,0,0.0015903336958806701
0,0,0.0015994735447075706
0,0,0.001608613393534471
0,0,0.0016177532423613714
0,0,0.0016268930911882717
0,0,0.0016360329400151722
0,0,0.0016451727888420725
0,0,0.001654312637668973
0,0,0.0016634524864958733
0,0,0.0016725923353227738
0,0,0.0016817321841496743
0,0,0.0016908720329765745
0,0,0.001700011881803475
0,0,0.0017091517306303753
0,0,0.0017182915794572758
0,0,0.0017274314282841761
0,0,0.0017365712771110766
0,0,0.001745711125937977
0,0,0.0017548509747648774
0,0,0.001763990823591778
0,0,0.0017731306724186782
0,0,0.0017822705212455787
0,0,0.001791410370072479
0,0,0.0018005502188993795
0,0,0.0018096900677262797
0,0,0.0018188299165531802
0,0,0.0018279697653800805
0,0,0.001837109614206981
0,0,0.0018462494630338813
0,0,0.0018553893118607818
0,0,0.0018645291606876823
0,0,0.0018736690095145826
0,0,0.001882808858341483
0,0,0.0018919487071683834
0,0,0.0019010885559952839
0,0,0.0019102284048221842
0,0,0.0019193682536490847
0,0,0.001928508102475985
0,0,0.0019376479513028854
0,0,0.001946787800129786
0,0,0.0019559276489566862
0,0,0.0019650674977835865
0,0,0.0019742073466104872
0,0,0.0019833471954373875
0,0,0.001992487044264288
0,0,0.002001626893091188
0,0,0.002010766741918089
0,0,0.002019906590744989
0,0,0.0020290464395718894
0,0,0.00203818628839879
0,0,0.0020473261372256904
0,0,0.0020564659860525906
0,0,0.002065605834879491
0,0,0.0020747456837063917
0,0,0.002083885532533292
0,0,0.0020930253813601922
0,0,0.0021021652301870925
0,0,0.0021113050790139932
0,0,0.0021204449278408935
0,0,0.002129584776667794
0,0,0.0021387246254946945
0,0,0.002147864474321595
0,0,0.002157004323148495
