Queue_Length,CDF
0,0.0
0,9.078776544072921e-06
0,1.8157553088145842e-05
0,2.7236329632218763e-05
0,3.6315106176291684e-05
0,4.53938827203646e-05
0,5.4472659264437525e-05
0,6.355143580851044e-05
0,7.263021235258337e-05
0,8.170898889665629e-05
0,9.07877654407292e-05
0,9.986654198480213e-05
0,0.00010894531852887505
0,0.00011802409507294798
0,0.00012710287161702089
0,0.0001361816481610938
0,0.00014526042470516673
0,0.00015433920124923966
0,0.00016341797779331258
0,0.0001724967543373855
0,0.0001815755308814584
0,0.00019065430742553133
0,0.00019973308396960425
0,0.00020881186051367718
0,0.0002178906370577501
0,0.00022696941360182303
0,0.00023604819014589595
0,0.0002451269666899689
0,0.00025420574323404177
0,0.0002632845197781147
0,0.0002723632963221876
0,0.0002814420728662605
0,0.00029052084941033347
0,0.00029959962595440637
0,0.0003086784024984793
0,0.0003177571790425522
0,0.00032683595558662517
0,0.00033591473213069806
0,0.000344993508674771
0,0.0003540722852188439
0,0.0003631510617629168
0,0.00037222983830698976
0,0.00038130861485106266
0,0.0003903873913951356
0,0.0003994661679392085
0,0.00040854494448328146
0,0.00041762372102735435
0,0.00042670249757142725
0,0.0004357812741155002
0,0.0004448600506595731
0,0.00045393882720364605
0,0.00046301760374771895
0,0.0004720963802917919
0,0.0004811751568358648
0,0.0004902539333799377
0,0.0004993327099240106
0,0.0005084114864680835
0,0.0005174902630121564
0,0.0005265690395562294
0,0.0005356478161003023
0,0.0005447265926443752
0,0.0005538053691884481
0,0.000562884145732521
0,0.000571962922276594
0,0.0005810416988206669
0,0.0005901204753647398
0,0.0005991992519088127
0,0.0006082780284528857
0,0.0006173568049969586
0,0.0006264355815410315
0,0.0006355143580851044
0,0.0006445931346291773
0,0.0006536719111732503
0,0.0006627506877173232
0,0.0006718294642613961
0,0.000680908240805469
0,0.000689987017349542
0,0.0006990657938936149
0,0.0007081445704376878
0,0.0007172233469817607
0,0.0007263021235258336
0,0.0007353809000699066
0,0.0007444596766139795
0,0.0007535384531580524
0,0.0007626172297021253
0,0.0007716960062461982
0,0.0007807747827902712
0,0.0007898535593343441
0,0.000798932335878417
0,0.0008080111124224899
0,0.0008170898889665629
0,0.0008261686655106358
0,0.0008352474420547087
